FENAME,编码SOC,FCNAME,ELEMID,k_un1990,k_un1991,k_un1992,k_un1993,k_un1994,k_un1995,k_un1996,k_un1997,k_un1998,k_un1999,k_un2000,k_un2001,k_un2002,k_un2003,k_un2004,k_un2005,k_un2006,k_un2007,k_un2008,k_un2009,k_un2010,k_un2011,k_un2012,k_un2013,k_un2014,k_un2015,k_un2016,k_un2017,k_un2018,k_un2019,k_un2020
Republic of Azerbaijan,AZE,阿塞拜疆,220,7427836,7538267,7643338,7740107,7821880,7889330,7949102,8000062,8041096,8101450,8190337,8282023,8372127,8462322,8556164,8656237,8763354,8878411,8999696,9119628,9237202,9359014,9485576,9614478,9741880,9863480,9976248,10071567,10152522,10232753,10284951
Republic of Burundi,BDI,布隆迪,111,5483794,5594828,5743085,5555220,5586408,5932783,5930507,5923862,6035340,6180180,6307660,6465729,6648938,6860846,7120496,7388874,7658190,7944609,8278109,8709366,9126606,9455733,9795479,10149578,10494912,10727148,10903328,11155593,11493472,11874838,12220226
Kingdom of Belgium,BEL,比利时,163,9959560,9987070,10016455,10043738,10069182,10095198,10123230,10154872,10188538,10224220,10264342,10309256,10355568,10402550,10456162,10516978,10582975,10653696,10726716,10801356,10877946,10955742,11031140,11103257,11176723,11248304,11316836,11384490,11448596,11510568,11561716
Republic of Benin,BEN,贝宁,98,5133420,5293046,5457778,5706181,5923394,6046510,6203860,6387026,6584183,6788589,6998023,7212040,7431783,7659208,7894554,8149419,8402631,8647760,8906469,9172514,9445710,9726380,10014078,10308730,10614844,10932784,11260085,11596778,11940683,12290444,12643123
Burkina Faso,BFA,布基纳法索,87,9131360,9365064,9598555,9840075,10091256,10353262,10621210,10897353,11201063,11533554,11882888,12249764,12632269,13030591,13445977,13876127,14316242,14757074,15197915,15650022,16116845,16602652,17113732,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626
People,BGD,孟加拉国,222,107147651,109242834,111272102,113418757,115614891,117793338,119876868,122039226,124350471,126754824,129193327,131670484,134139826,136503206,138789725,140912590,142628831,144135934,145421318,146706810,148391139,150211006,152090650,154030139,155961298,157830000,159784568,161793964,163683958,165516222,167420950
Republic of Bulgaria,BGR,保加利亚,182,8767778,8721660,8668540,8611536,8548466,8477580,8401376,8318966,8234927,8162301,8097692,8034860,7974810,7917740,7865316,7815222,7766036,7719036,7674913,7634736,7592272,7543130,7488344,7431167,7372142,7309254,7245974,7182428,7117431,7052532,6979174
State of Bahrain,BHR,巴林,213,517418,535415,554470,573756,593254,612934,632756,652642,672484,692133,711442,730257,748324,778256,833451,901921,970980,1040532,1110343,1179453,1213645,1212077,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469
Commonwealth of the Bahamas,BHS,巴哈马,6,270679,276058,281973,288164,293997,299554,304932,310170,315398,320272,325014,329626,334002,338490,343090,347804,352664,357666,362795,368057,373272,377950,382061,385650,389131,392698,395976,399020,401906,404557,406472
Bosnia and Herzegovina,BIH,波黑,177,4494310,4502386,4275730,3942980,3762330,3750527,3907750,4047748,4115059,4153014,4179350,4194932,4198410,4183757,4142860,4094297,4058086,4007876,3943392,3877750,3811088,3743142,3674374,3617558,3571068,3524324,3480986,3440027,3400129,3360712,3318407
